-----------------------------------------------
248665 words be counted! 
Details are as follow:
no.	word	time	frequency
-----------------------------------------------
1    	hair            	 5853	            2.354%
2    	dryer           	 4652	            1.871%
3    	one             	 2066	            0.831%
4    	great           	 1979	            0.796%
5    	so              	 1757	            0.707%
6    	very            	 1651	            0.664%
7    	love            	 1500	            0.603%
8    	not             	 1358	            0.546%
9    	use             	 1121	            0.451%
10   	works           	 1008	            0.405%
11   	like            	  964	            0.388%
12   	good            	  962	            0.387%
13   	product         	  949	            0.382%
14   	dry             	  895	            0.360%
15   	blow            	  878	            0.353%
16   	time            	  842	            0.339%
17   	used            	  757	            0.304%
18   	well            	  749	            0.301%
19   	really          	  710	            0.286%
20   	can             	  696	            0.280%
21   	out             	  654	            0.263%
22   	bought          	  650	            0.261%
23   	dries           	  647	            0.260%
24   	much            	  635	            0.255%
25   	price           	  631	            0.254%
26   	cord            	  617	            0.248%
27   	dryers          	  600	            0.241%
28   	all             	  599	            0.241%
29   	years           	  596	            0.240%
30   	long            	  586	            0.236%
31   	too             	  578	            0.232%
32   	heat            	  571	            0.230%
33   	easy            	  553	            0.222%
34   	more            	  545	            0.219%
35   	no              	  543	            0.218%
36   	recommend       	  533	            0.214%
37   	powerful        	  500	            0.201%
38   	other           	  496	            0.199%
39   	old             	  491	            0.197%
40   	light           	  488	            0.196%
41   	little          	  477	            0.192%
42   	best            	  470	            0.189%
43   	hot             	  470	            0.189%
44   	what            	  464	            0.187%
45   	get             	  463	            0.186%
46   	nice            	  463	            0.186%
47   	drying          	  461	            0.185%
48   	your            	  459	            0.185%
49   	fast            	  454	            0.183%
50   	only            	  450	            0.181%
51   	will            	  446	            0.179%
52   	which           	  444	            0.179%
53   	hairdryer       	  442	            0.178%
54   	quickly         	  441	            0.177%
55   	power           	  438	            0.176%
56   	air             	  434	            0.175%
57   	don             	  433	            0.174%
58   	using           	  427	            0.172%
59   	we              	  425	            0.171%
60   	travel          	  395	            0.159%
61   	settings        	  381	            0.153%
62   	buy             	  372	            0.150%
63   	been            	  368	            0.148%
64   	thick           	  363	            0.146%
65   	perfect         	  360	            0.145%
66   	small           	  357	            0.144%
67   	now             	  355	            0.143%
68   	still           	  336	            0.135%
69   	high            	  335	            0.135%
70   	happy           	  335	            0.135%
71   	first           	  334	            0.134%
72   	ever            	  325	            0.131%
73   	how             	  321	            0.129%
74   	do              	  315	            0.127%
75   	even            	  314	            0.126%
76   	got             	  304	            0.122%
77   	better          	  302	            0.121%
78   	quiet           	  298	            0.120%
79   	setting         	  294	            0.118%
80   	purchased       	  290	            0.117%
81   	doesn           	  287	            0.115%
82   	last            	  282	            0.113%
83   	need            	  280	            0.113%
84   	job             	  279	            0.112%
85   	without         	  278	            0.112%
86   	minutes         	  277	            0.111%
87   	size            	  269	            0.108%
88   	weight          	  268	            0.108%
89   	wife            	  266	            0.107%
90   	new             	  260	            0.105%
91   	two             	  259	            0.104%
92   	far             	  259	            0.104%
93   	wall            	  258	            0.104%
94   	conair          	  257	            0.103%
95   	enough          	  256	            0.103%
96   	did             	  256	            0.103%
97   	by              	  255	            0.103%
98   	looking         	  255	            0.103%
99   	quality         	  254	            0.102%
100  	lot             	  254	            0.102%
101  	over            	  253	            0.102%
102  	highly          	  251	            0.101%
103  	amazon          	  251	            0.101%
104  	cool            	  251	            0.101%
105  	off             	  250	            0.101%
106  	excellent       	  249	            0.100%
107  	handle          	  243	            0.098%
108  	home            	  242	            0.097%
109  	less            	  241	            0.097%
110  	same            	  240	            0.097%
111  	low             	  240	            0.097%
112  	gets            	  239	            0.096%
113  	way             	  237	            0.095%
114  	purchase        	  237	            0.095%
115  	bathroom        	  236	            0.095%
116  	some            	  235	            0.095%
117  	find            	  235	            0.095%
118  	heavy           	  234	            0.094%
119  	worth           	  232	            0.093%
120  	makes           	  230	            0.092%
121  	since           	  229	            0.092%
122  	every           	  227	            0.091%
123  	compact         	  225	            0.090%
124  	never           	  224	            0.090%
125  	another         	  221	            0.089%
126  	right           	  213	            0.086%
127  	fine            	  212	            0.085%
128  	these           	  212	            0.085%
129  	while           	  211	            0.085%
130  	back            	  208	            0.084%
131  	them            	  208	            0.084%
132  	speed           	  208	            0.084%
133  	definitely      	  206	            0.083%
134  	half            	  205	            0.082%
135  	make            	  205	            0.082%
136  	could           	  204	            0.082%
137  	day             	  200	            0.080%
138  	hotel           	  199	            0.080%
139  	before          	  198	            0.080%
140  	lightweight     	  198	            0.080%
141  	found           	  197	            0.079%
142  	retractable     	  196	            0.079%
143  	curly           	  195	            0.078%
144  	work            	  194	            0.078%
145  	takes           	  194	            0.078%
146  	thing           	  192	            0.077%
147  	reviews         	  192	            0.077%
