word, frequency in 1, frequency in 2, frequency in 3, frequency in 4, frequency in 5, probability in 1, probability in 2, probability in 3, probability in 4, probability in 5, score,stdev
dryer,1.37472,1.67997,1.49668,1.59955,1.88726,0.171023789,0.208998803,0.186196378,0.198994051,0.234786979,3.117521628,0.021551265
hair,1.21951,1.55925,1.63125,1.77538,2.37225,0.14250541,0.182205608,0.190619143,0.207461403,0.277208436,3.294661846,0.044106879
one,0.68736,0.64047,0.71367,0.62554,0.83847,0.196079886,0.182703801,0.203585213,0.178444791,0.23918631,3.081953838,0.021575789
use,0.55432,0.41245,0.4017,0.45823,0.45523,0.24291718,0.180746123,0.176035198,0.200808088,0.199493411,2.933214428,0.023612782
blow,0.55432,0.30179,0.27527,0.28027,0.3563,0.313538279,0.170700529,0.155700105,0.158528239,0.201532849,2.76381685,0.059049364
product,0.50998,0.35544,0.23449,0.28453,0.38566,0.288108016,0.200802215,0.132472742,0.160742331,0.217874696,2.819473476,0.053262118
months,0.50998,0.34538,0.13254,0.06181,0.06193,0.458763629,0.31069411,0.119229247,0.055602533,0.055710482,1.93880213,0.159628199
out,0.4878,0.35544,0.30382,0.25149,0.26501,0.293226574,0.213662266,0.182632427,0.151175792,0.159302941,2.669666258,0.051418943
used,0.42129,0.19113,0.20187,0.27281,0.30603,0.302405375,0.137194662,0.144903921,0.195825228,0.219670813,2.893161442,0.059785147
too,0.39911,0.29844,0.28751,0.26428,0.23324,0.269199638,0.201297738,0.193925454,0.178256823,0.157320347,2.753200502,0.03773988
can,0.37694,0.20119,0.26508,0.24403,0.2811,0.27547247,0.14703217,0.193723782,0.178340179,0.205431399,2.891225865,0.042519933
return,0.33259,0.13413,0.04894,0.01385,0,0.628109006,0.253309664,0.092425072,0.026156258,0,1.516628581,0.231479266
now,0.33259,0.17101,0.13866,0.10124,0.14357,0.374930952,0.192780728,0.156312354,0.114128536,0.16184743,2.495180764,0.090984717
hot,0.33259,0.39568,0.26508,0.22485,0.19263,0.235740663,0.280459021,0.187889398,0.159374269,0.136536649,2.680507219,0.052107126
did,0.31042,0.23473,0.12846,0.10976,0.10536,0.349284935,0.264118461,0.144543337,0.123502076,0.118551191,2.397916128,0.091606169
air,0.31042,0.25149,0.2141,0.17583,0.17574,0.27529754,0.223035173,0.189875663,0.155935721,0.155855904,2.694017276,0.045151307
time,0.31042,0.26155,0.20798,0.23871,0.34142,0.228236574,0.192304864,0.152917475,0.175511735,0.251029351,3.028792424,0.035431492
work,0.28825,0.17772,0.16313,0.09271,0.07882,0.360028977,0.221975195,0.203752045,0.11579631,0.098447473,2.370658107,0.093283908
back,0.28825,0.22802,0.12234,0.1055,0.08445,0.34789273,0.275200348,0.147653761,0.127329342,0.10192382,2.360191175,0.095044665
bought,0.28825,0.24814,0.2141,0.20247,0.2634,0.23697754,0.204002105,0.176016969,0.166455655,0.216547733,2.921593936,0.025913671
fire,0.28825,0.04359,0.01427,0,0,0.832827714,0.125942619,0.041229667,0,0,1.208401953,0.319738465
working,0.28825,0.17772,0.07545,0.06927,0.04544,0.439318428,0.270860957,0.114992456,0.105573591,0.069254568,2.094584915,0.1382256
don,0.28825,0.19784,0.20595,0.19288,0.17533,0.271869842,0.186597501,0.19424664,0.181919359,0.165366659,2.782315492,0.037160141
purchased,0.28825,0.14084,0.11623,0.09697,0.11702,0.379620972,0.18548419,0.153073185,0.127708051,0.154113603,2.491209124,0.091660477
using,0.26608,0.18443,0.17536,0.16944,0.17292,0.274810737,0.1904816,0.181113992,0.174999742,0.178593929,2.792084525,0.037754895
doesn,0.26608,0.14084,0.21614,0.16091,0.11542,0.295844962,0.156595026,0.240318438,0.17891015,0.128331425,2.687288051,0.06045989
item,0.26608,0.07712,0.04486,0.05222,0.04987,0.542854228,0.15733959,0.091523003,0.106538815,0.101744364,2.066979496,0.172930827
buy,0.26608,0.12742,0.10807,0.11296,0.15402,0.346210396,0.165792727,0.140615445,0.146978076,0.200403357,2.689571271,0.076007408
last,0.26608,0.18443,0.17536,0.10337,0.11421,0.31546624,0.21866145,0.207907997,0.122556168,0.135408145,2.543778529,0.069156191
stopped,0.26608,0.13413,0.06117,0.01705,0.01005,0.544710121,0.274586472,0.125225188,0.034904193,0.020574026,1.712045529,0.194643154
only,0.26608,0.28167,0.27935,0.44758,0.18298,0.182539138,0.193234362,0.19164277,0.307053771,0.125529959,2.999801051,0.05903693
amazon,0.26608,0.07712,0.07952,0.05861,0.10214,0.456030301,0.132174748,0.13628807,0.100450752,0.17505613,2.40632766,0.130186973
well,0.26608,0.21796,0.29974,0.36872,0.30241,0.182884165,0.149809954,0.206019616,0.253431484,0.207854781,3.153562763,0.03395541
days,0.2439,0.02347,0.03874,0.02771,0.04263,0.647894807,0.062345597,0.102908753,0.073608713,0.11324213,1.941957763,0.224716216
money,0.2439,0.057,0.04486,0.05435,0.07118,0.517515755,0.120944641,0.095185555,0.115321776,0.151032273,2.261410172,0.159762519
like,0.2439,0.39903,0.4751,0.5307,0.39048,0.119605141,0.195678719,0.23298238,0.260247841,0.191485919,3.208330677,0.047480809
your,0.2439,0.19113,0.15293,0.20247,0.18659,0.24963665,0.195625473,0.15652699,0.207232196,0.19097869,2.894290803,0.030021741
do,0.2439,0.20119,0.17128,0.15452,0.12869,0.271126526,0.223648814,0.190399964,0.171769048,0.143055648,2.691978479,0.04415893
over,0.22173,0.08718,0.11011,0.10337,0.10295,0.354575111,0.13941216,0.176080212,0.165302076,0.164630441,2.646000576,0.078219511
will,0.22173,0.24143,0.20187,0.211,0.18016,0.209933819,0.228585766,0.191130384,0.199774662,0.17057537,2.892471998,0.01928915
off,0.22173,0.33532,0.23653,0.21846,0.10214,0.199007342,0.300956757,0.212290653,0.196072448,0.0916728,2.680446606,0.066474838
got,0.22173,0.13413,0.0836,0.08525,0.12306,0.34229742,0.207064236,0.129058153,0.131605354,0.189974837,2.619895951,0.077600949
cord,0.22173,0.22131,0.37723,0.3474,0.24933,0.156478476,0.156182075,0.266217361,0.245165843,0.175956246,3.127939308,0.046512209
never,0.22173,0.09724,0.0469,0.03623,0.0933,0.447577715,0.19628583,0.094670973,0.073132822,0.18833266,2.358356883,0.133142128
disappointed,0.22173,0.11736,0.07545,0.01705,0.01689,0.494403318,0.26168391,0.168234927,0.038017303,0.037660542,1.862847842,0.169752603
