-----------------------------------------------
4510 words be counted! 
Details are as follow:
no.	word	time	frequency
-----------------------------------------------
1    	dryer           	   61	            1.353%
2    	not             	   55	            1.220%
3    	hair            	   54	            1.197%
4    	one             	   30	            0.665%
5    	use             	   25	            0.554%
6    	blow            	   25	            0.554%
7    	months          	   23	            0.510%
8    	so              	   23	            0.510%
9    	product         	   23	            0.510%
10   	out             	   22	            0.488%
11   	used            	   19	            0.421%
12   	too             	   18	            0.399%
13   	very            	   17	            0.377%
14   	can             	   16	            0.355%
15   	now             	   15	            0.333%
16   	hot             	   15	            0.333%
17   	air             	   14	            0.310%
18   	time            	   14	            0.310%
19   	did             	   14	            0.310%
20   	back            	   13	            0.288%
21   	purchased       	   13	            0.288%
22   	work            	   13	            0.288%
23   	return          	   13	            0.288%
24   	working         	   13	            0.288%
25   	bought          	   13	            0.288%
26   	fire            	   12	            0.266%
27   	well            	   12	            0.266%
28   	using           	   12	            0.266%
29   	doesn           	   12	            0.266%
30   	stopped         	   12	            0.266%
31   	last            	   12	            0.266%
32   	only            	   12	            0.266%
33   	like            	   11	            0.244%
34   	don             	   11	            0.244%
35   	no              	   11	            0.244%
36   	amazon          	   10	            0.222%
37   	never           	   10	            0.222%
38   	off             	   10	            0.222%
39   	over            	   10	            0.222%
40   	money           	   10	            0.222%
41   	your            	   10	            0.222%
42   	buy             	   10	            0.222%
43   	cord            	   10	            0.222%
44   	will            	   10	            0.222%
45   	disappointed    	   10	            0.222%
46   	got             	   10	            0.222%
47   	item            	   10	            0.222%
48   	do              	    9	            0.200%
49   	dryers          	    9	            0.200%
50   	diffuser        	    9	            0.200%
51   	days            	    9	            0.200%
52   	all             	    9	            0.200%
53   	get             	    9	            0.200%
54   	day             	    9	            0.200%
55   	started         	    9	            0.200%
56   	year            	    9	            0.200%
57   	really          	    8	            0.177%
58   	burned          	    8	            0.177%
59   	ago             	    8	            0.177%
60   	new             	    8	            0.177%
61   	even            	    8	            0.177%
62   	didn            	    8	            0.177%
63   	went            	    8	            0.177%
64   	turn            	    8	            0.177%
65   	within          	    8	            0.177%
66   	conair          	    7	            0.155%
67   	times           	    7	            0.155%
68   	before          	    7	            0.155%
69   	first           	    7	            0.155%
70   	blows           	    7	            0.155%
71   	could           	    7	            0.155%
72   	worked          	    7	            0.155%
73   	less            	    7	            0.155%
74   	heat            	    7	            0.155%
75   	heavy           	    7	            0.155%
76   	purchase        	    7	            0.155%
77   	years           	    7	            0.155%
78   	NOT             	    7	            0.155%
79   	however         	    7	            0.155%
80   	attachment      	    7	            0.155%
81   	something       	    6	            0.133%
82   	almost          	    6	            0.133%
83   	much            	    6	            0.133%
84   	more            	    6	            0.133%
85   	another         	    6	            0.133%
86   	longer          	    6	            0.133%
87   	high            	    6	            0.133%
88   	smoke           	    6	            0.133%
89   	recommend       	    6	            0.133%
90   	should          	    6	            0.133%
91   	weeks           	    6	            0.133%
92   	see             	    6	            0.133%
93   	replacement     	    6	            0.133%
94   	again           	    6	            0.133%
95   	good            	    5	            0.111%
96   	burning         	    5	            0.111%
97   	broke           	    5	            0.111%
98   	by              	    5	            0.111%
99   	comes           	    5	            0.111%
